order,species,specimen no.,tmtL,tmtD-P,tmtM-L
Dinornithiformes,Dinornis robustus,MNZ S32716,315,,41
Dinornithiformes,Dinornis robustus,Hodge Ck,319,,39.3
Dinornithiformes,Dinornis robustus,OM Av7343,295,,42
Dinornithiformes,Dinornis robustus,MNZ S32667,338,,43
Dinornithiformes,Dinornis robustus,MNZ S23342,358,,44
Dinornithiformes,Dinornis robustus,MNZ S211,304,,39
Dinornithiformes,Dinornis robustus,MNZ S23654,322,,42
Dinornithiformes,Dinornis robustus,AIM352,315,,38
Dinornithiformes,Dinornis robustus,MNZ S25765,358,,48
Dinornithiformes,Dinornis robustus,WO30.41,365,,44.7
Dinornithiformes,Dinornis robustus,In situ,325,,43.8
Dinornithiformes,Dinornis robustus,MNZ S32677,364,,47
Dinornithiformes,Dinornis robustus," Hochstetter, Wien",365,,48
Dinornithiformes,Dinornis robustus,York,383,,48.8
Dinornithiformes,Pachyornis elephantopus,Av8382,222,,53
Dinornithiformes,Pachyornis elephantopus,Av8381,221,,56
Dinornithiformes,Pachyornis elephantopus,Av8389,216,,58
Dinornithiformes,Pachyornis elephantopus,Av8387,240,,59
Dinornithiformes,Pachyornis elephantopus,Av8385,206,,55
Dinornithiformes,Pachyornis elephantopus,Av8388,217,,52
Dinornithiformes,Pachyornis elephantopus,Av8386,212,,58
Dinornithiformes,Pachyornis elephantopus,Av15029,232,,70
Dinornithiformes,Pachyornis elephantopus,Av8383,224,,60
Dinornithiformes,Pachyornis elephantopus,Av8716,220,,61
Dinornithiformes,Pachyornis elephantopus,Av8348,225,,55
Aepyornithiformes,Aepyornis maximus,NHM A2148,385,28.8,69.2
Aepyornithiformes,Aepyornis hildebrandti,UIO 122.861,308,25.35,56.52
Aepyornithiformes,Aepyornis maximus,MNHN 1906-16-65,372,31.84,64.78
Aepyornithiformes,Mullerornis modestus,MNHN Unnumbered,324,18.2,29.6
Aepyornithiformes,Mullerornis modestus,MNHN Unnumbered,323,16.86,28.5
Aepyornithiformes,Aepyornis hildebrandti,MNHN Unnumbered,344,23.88,56.62
Aepyornithiformes,Aepyornis hildebrandti,MNHN Unnumbered,325,26.1,57.24
Aepyornithiformes,Aepyornis maximus,"MNHN 1908-5, 51",426,33.8,78.72
Aepyornithiformes,Mullerornis modestus,MNHN MAD 6771,322,15.92,27.82
Aepyornithiformes,Mullerornis modestus,MNHN MAD 6660,315,19.6,28.28
Aepyornithiformes,Mullerornis modestus,MNHN MAD 6662,303,17.62,30.62
Aepyornithiformes,Mullerornis modestus,MNHN MAD 6658,297,18.14,30.52
Aepyornithiformes,Aepyornis maximus,MNHN MAD 387,364,27.04,66.62
Aepyornithiformes,Aepyornis maximus,MNHN MAD 385,379,28.74,63.3
Aepyornithiformes,Aepyornis hildebrandti,MNHN MAD 6736,346,29.42,61.18
Aepyornithiformes,Aepyornis maximus,MNHN 1908-21,486,35.8,87.16
Aepyornithiformes,Aepyornis hildebrandti,MNHN Unnumbered,312,25.24,65.04
Aepyornithiformes,Aepyornis hildebrandti,MNHN Unnumbered,311,23.6,53.78
Aepyornithiformes,Aepyornis maximus,MNHN 1908-5,419,31.96,76.9
Aepyornithiformes,Aepyornis maximus,MNHN MAD 382,466,36.98,81.76
Aepyornithiformes,Mullerornis modestus,MNHN MAD 400c,307,16.56,32
Aepyornithiformes,Mullerornis modestus,MNHN MAD 459d,308,17.7,30.82
Aepyornithiformes,Aepyornis hildebrandti,MNHN Unnumbered,314,25.1,61.36
Aepyornithiformes,Aepyornis hildebrandti,NHMW 2014/0238/0025,301,27.14,59.42
Aepyornithiformes,Aepyornis hildebrandti,NHMW 2014/0238/0026,288,24.54,50.5
Aepyornithiformes,Aepyornis hildebrandti,NHMW 2014/0238/0027,329,27.14,52.22
Aepyornithiformes,Aepyornis hildebrandti,NHMW 2014/0238/0029,291,23.46,50.48
Aepyornithiformes,Aepyornis hildebrandti,NHMW 2014/0238/0030,298,25.32,51.54
Aepyornithiformes,Aepyornis hildebrandti,NHMW 2014/0238/0031,309,27.7,52.78
Aepyornithiformes,Aepyornis hildebrandti,NHM A673,329,27.4,58.02
Aepyornithiformes,Aepyornis hildebrandti,MNHN Unnumbered,305,25.44,53.7
Aepyornithiformes,Aepyornis hildebrandti,MNHN Unnumbered,302,23.1,51.72
Aepyornithiformes,Aepyornis hildebrandti,MFN MB.AV.67,266,21.04,42.98
Aepyornithiformes,Aepyornis maximus,USNM A605209,352,34.66,68.18
Aepyornithiformes,Aepyornis maximus,UA 07AEP03,454,39,81.6
Aepyornithiformes,Aepyornis hildebrandti,UA 08AEP01,270,23.48,44.48
Aepyornithiformes,Mullerornis modestus,UA 07AEP06,314,20.3,32.24
Aepyornithiformes,Aepyornis hildebrandti,UA 07AEP11,269,22.34,44.4
Aepyornithiformes,Mullerornis modestus,UA 07AEP08,312,19.62,29.7
Aepyornithiformes,Aepyornis hildebrandti,ZIUU A34,344,27.9,62.98
Aepyornithiformes,Aepyornis hildebrandti,ZIUU A39,329,27,58.68
Aepyornithiformes,Aepyornis hildebrandti,ZIUU A38,327,26.58,60.88
Aepyornithiformes,Aepyornis hildebrandti,ZIUU A40,325,26.88,55.36
Aepyornithiformes,Aepyornis hildebrandti,ZIUU A33a,305,26.76,55.34
Aepyornithiformes,Mullerornis modestus,NHM A676,271,15,27
Aepyornithiformes,Aepyornis maximus,MNHN MAD 388,363,28.96,67.32
Aepyornithiformes,Aepyornis maximus,MNHN MAD 8813,536,32.58,88.06
Aepyornithiformes,Aepyornis hildebrandti,NHMW 2014/0238/0028,309,23.04,50.6
Aepyornithiformes,Mullerornis modestus,UA 07AEP07,306,19.5,31.98
Aepyornithiformes,Aepyornis maximus,UA 07AEP05,361,29.02,68.38
Aepyornithiformes,Aepyornis maximus,UA Unnumbered,359,30.7,69.8
Aepyornithiformes,Mullerornis modestus,USNM 214709,287,16.88,27.68
Aepyornithiformes,Aepyornis maximus,USNM 214713,274,35.14,73.58
Aepyornithiformes,Aepyornis maximus,ZIUU A47,400,35.12,79.9
Dromornithidae,Illbandornis lawsoni,Worthy & Yates 2015,421.8,,28.4
Dromornithidae,Illbandornis woodburnei,Worthy & Yates 2015,349.9,,34.1
Dromornithidae,Dromornis stirtoni,Handley et al. 2016,412,,
Dromornithidae,Genyornis newtoni,SAMA P.53833,,,
Dromornithidae,Genyornis newtoni,SAMA P.59517,,,
Dromornithidae,Genyornis newtoni,SAMA P.59516,,,
Dromornithidae,Genyornis newtoni,FU2763,352,31.5,38.9
Dromornithidae,Genyornis newtoni,SAMA P.59518,346,30.6,42.8
Dromornithidae,Genyornis newtoni,SAMA P.59519,353,48.7,40.5
